科类,院系,专业,最高分,最低分,平均分,省份,年份
文科,传播与设计学院,新闻传播学类（含新闻学、传播学专业）,650,648,649,北京,2018
 ,法学院,法学,650,648,649,北京,2018
 ,国际关系学院,国际政治,650,647,649,北京,2018
 ,国际金融学院,工商管理类（含工商管理、会计学专业）,650,649,650,北京,2018
 ,岭南学院,经济学类（含金融学、经济学专业）,654,648,651,北京,2018
 ,政治与公共事务管理学院,公共管理类（含行政管理、政治学与行政学专业）,650,650,650,北京,2018
 ,中国语言文学系,汉语言文学,652,651,652,北京,2018
理科,电子与信息工程学院,电子信息类（含电子信息科学与技术、通信工程专业）,650,649,650,北京,2018
 ,公共卫生学院（深圳）,预防医学（深圳）,646,646,646,北京,2018
 ,管理学院,工商管理,662,650,656,北京,2018
 ,光华口腔医学院,口腔医学,658,657,658,北京,2018
 ,化学工程与技术学院,化学工程与工艺,646,645,645,北京,2018
 ,岭南学院,经济学类（含金融学、经济学专业）,664,658,661,北京,2018
 ,生命科学学院,生物科学类（含生物科学、生物技术、生态学专业）,654,653,654,北京,2018
 ,数据科学与计算机学院,计算机类（含计算机科学与技术、网络空间安全专业）,655,652,654,北京,2018
 ,数据科学与计算机学院（软件学院）,软件工程,649,645,647,北京,2018
 ,数学学院,数学类（含数学与应用数学、统计学专业）,673,656,662,北京,2018
 ,物理学院,物理学,654,651,653,北京,2018
 ,药学院（深圳）,药学（深圳）,649,646,648,北京,2018
 ,医学院,临床医学（深圳）,666,665,666,北京,2018
 ,中法核工程与技术学院,核工程类（中法合作办学）（核工程与核技术专业）,645,645,645,北京,2018
 ,中山医学院,临床医学（八年制）,667,666,667,北京,2018
综合改革,材料科学与工程学院,材料类（含材料物理、材料化学、高分子材料与工程专业）,653,652,653,浙江,2018
 ,大气科学学院,大气科学类（含大气科学、应用气象学专业）,650,650,650,浙江,2018
 ,地理科学与规划学院,地理科学类（含自然地理与资源环境、人文地理与城乡规划、地理信息科学、地理科学专业）,655,654,655,浙江,2018
 ,电子与通信工程学院,电子信息类（含电子信息科学与技术、通信工程专业）（深圳）,655,654,655,浙江,2018
 ,法学院,法学,658,657,658,浙江,2018
 ,公共卫生学院（深圳）,预防医学（深圳）,656,654,655,浙江,2018
 ,管理学院,会计学,661,660,661,浙江,2018
 ,光华口腔医学院,口腔医学（5+3）,668,665,667,浙江,2018
 ,国际翻译学院,外国语言文学类（含英语、阿拉伯语、西班牙语、朝鲜语、俄语专业）,656,655,656,浙江,2018
 ,国际关系学院,国际政治,655,653,654,浙江,2018
 ,国际金融学院,工商管理类（含工商管理、会计学专业）,658,658,658,浙江,2018
 ,国际金融学院,金融学,664,659,662,浙江,2018
 ,海洋科学学院,海洋科学,649,648,649,浙江,2018
 ,化学学院,化学类（含化学、高分子材料与工程专业）,659,654,657,浙江,2018
 ,环境科学与工程学院,环境科学与工程类（含环境科学、环境工程专业）,655,654,655,浙江,2018
 ,岭南学院,经济学类（含金融学、经济学专业）,661,660,660,浙江,2018
 ,旅游学院,旅游管理类（含旅游管理、会展经济与管理专业）,655,652,654,浙江,2018
 ,社会学与人类学学院,社会学,656,655,656,浙江,2018
 ,生命科学学院,生物科学类（含生物科学、生物技术、生态学专业）,654,654,654,浙江,2018
 ,生物医学工程学院,生物医学工程,653,652,653,浙江,2018
 ,数据科学与计算机学院,计算机类（含计算机科学与技术、网络空间安全专业）,667,657,660,浙江,2018
 ,数据科学与计算机学院,信息与计算科学,656,656,656,浙江,2018
 ,数据科学与计算机学院（软件学院）,软件工程,657,655,656,浙江,2018
 ,数学学院,数学类（含数学与应用数学、统计学专业）,658,657,657,浙江,2018
 ,土木工程学院,土木工程,653,652,653,浙江,2018
 ,外国语学院,日语,654,653,654,浙江,2018
 ,外国语学院,英语,656,655,656,浙江,2018
 ,物理学院,光电信息科学与工程（理学）,654,654,654,浙江,2018
 ,物理与天文学院,物理学（珠海）,653,653,653,浙江,2018
 ,心理学系,心理学,654,654,654,浙江,2018
 ,药学院,药学,654,652,653,浙江,2018
 ,医学院,临床医学（深圳）,667,662,663,浙江,2018
 ,哲学系,哲学,658,657,658,浙江,2018
 ,中法核工程与技术学院,核工程类（中法合作办学）（核工程与核技术专业）,649,646,648,浙江,2018
 ,中国语言文学系（珠海）,汉语言文学（珠海）,656,656,656,浙江,2018
 ,中山医学院,临床医学（八年制）,684,680,682,浙江,2018
 ,资讯管理学院,信息管理与信息系统,657,656,657,浙江,2018
文科,传播与设计学院,新闻传播学类（含新闻学、传播学专业）,664,664,664,河北,2018
 ,法学院,法学,665,665,665,河北,2018
 ,管理学院,工商管理,662,662,662,河北,2018
 ,国际翻译学院,外国语言文学类（含英语、阿拉伯语、西班牙语、朝鲜语、俄语专业）,667,664,666,河北,2018
 ,国际金融学院,工商管理类（含工商管理、会计学专业）,671,669,670,河北,2018
 ,国际金融学院,金融学,661,661,661,河北,2018
 ,历史学系,历史学,664,664,664,河北,2018
 ,岭南学院,经济学类（含金融学、经济学专业）,674,672,673,河北,2018
 ,旅游学院,旅游管理类（含旅游管理、会展经济与管理专业）,664,662,663,河北,2018
 ,社会学与人类学学院,社会学,666,665,666,河北,2018
 ,哲学系（珠海）,哲学（珠海）,664,664,664,河北,2018
 ,政治与公共事务管理学院,公共管理类（含行政管理、政治学与行政学专业）,668,665,667,河北,2018
 ,中国语言文学系（珠海）,汉语言文学（珠海）,663,662,663,河北,2018
 ,资讯管理学院,图书情报与档案管理类（含图书馆学、档案学专业）,661,661,661,河北,2018
理科,材料学院,材料类（含材料物理、材料化学专业）,663,660,661,河北,2018
 ,大气科学学院,大气科学类（含大气科学、应用气象学专业）,662,660,661,河北,2018
 ,地理科学与规划学院,城乡规划,663,663,663,河北,2018
 ,地理科学与规划学院,地理科学类（含自然地理与资源环境、人文地理与城乡规划、地理信息科学、地理科学专业）,662,661,662,河北,2018
 ,地球科学与工程学院,地质学类（含地质学、地质工程专业）,660,660,660,河北,2018
 ,电子与通信工程学院,电子信息类（含电子信息科学与技术、通信工程专业）（深圳）,664,664,664,河北,2018
 ,电子与信息工程学院,微电子科学与工程,667,661,663,河北,2018
 ,公共卫生学院,预防医学,661,661,661,河北,2018
 ,管理学院,工商管理,679,668,673,河北,2018
 ,光华口腔医学院,口腔医学,660,660,660,河北,2018
 ,光华口腔医学院,口腔医学（5+3）,669,669,669,河北,2018
 ,国际金融学院,工商管理类（含工商管理、会计学专业）,674,671,673,河北,2018
 ,国际金融学院,金融学,675,669,673,河北,2018
 ,海洋科学学院,海洋科学,660,660,660,河北,2018
 ,航空航天学院,理论与应用力学,661,661,661,河北,2018
 ,化学工程与技术学院,化学工程与工艺,660,660,660,河北,2018
 ,环境科学与工程学院,环境科学与工程类（含环境科学、环境工程专业）,664,662,663,河北,2018
 ,岭南学院,管理科学与工程类（含国际商务、管理科学专业）,676,666,671,河北,2018
 ,岭南学院,经济学类（含金融学、经济学专业）,677,667,671,河北,2018
 ,生命科学学院,生物科学类（含生物科学、生物技术、生态学专业）,668,662,666,河北,2018
 ,生物医学工程学院,生物医学工程,661,661,661,河北,2018
 ,数据科学与计算机学院,计算机类（含计算机科学与技术、网络空间安全专业）,679,666,672,河北,2018
