科类,院系,专业,最高分,最低分,平均分,省份,年份
 ,数据科学与计算机学院,信息与计算科学,665,665,665,河北,2018
 ,数据科学与计算机学院（软件学院）,软件工程,670,664,667,河北,2018
 ,数学学院（珠海）,数学类（含数学与应用数学、信息与计算科学专业）（珠海）,669,666,668,河北,2018
 ,物理学院,光电信息科学与工程（理学）,664,662,663,河北,2018
 ,物理学院,物理学,684,664,672,河北,2018
 ,心理学系,心理学,670,663,667,河北,2018
 ,药学院,药学,668,660,663,河北,2018
 ,医学院,临床医学（深圳）,664,664,664,河北,2018
 ,智能工程学院,交通工程,662,661,662,河北,2018
 ,智能工程学院,智能科学与技术,671,668,669,河北,2018
 ,中法核工程与技术学院,核工程类（中法合作办学）（核工程与核技术专业）,660,660,660,河北,2018
 ,中山医学院,临床医学（八年制）,687,686,687,河北,2018
 ,资讯管理学院,信息管理与信息系统,665,661,663,河北,2018
文科,传播与设计学院,新闻传播学类（含新闻学、传播学专业）,623,623,623,天津,2018
 ,法学院,法学,631,624,628,天津,2018
 ,国际翻译学院,外国语言文学类（含英语、阿拉伯语、西班牙语、朝鲜语、俄语专业）,622,622,622,天津,2018
 ,国际金融学院,金融学,632,632,632,天津,2018
 ,岭南学院,经济学类（含金融学、经济学专业）,640,633,637,天津,2018
 ,旅游学院,旅游管理类（含旅游管理、会展经济与管理专业）,622,621,622,天津,2018
 ,社会学与人类学学院,人类学（含人类学、考古学专业）,623,622,623,天津,2018
 ,外国语学院,英语,628,625,627,天津,2018
 ,中国语言文学系（珠海）,汉语言文学（珠海）,641,627,634,天津,2018
理科,电子与信息工程学院,电子信息类（含电子信息科学与技术、通信工程专业）,653,652,653,天津,2018
 ,电子与信息工程学院,光电信息科学与工程（工学）,648,647,648,天津,2018
 ,公共卫生学院,预防医学,646,646,646,天津,2018
 ,管理学院,会计学,655,652,654,天津,2018
 ,光华口腔医学院,口腔医学,668,663,666,天津,2018
 ,国际金融学院,金融学,666,657,661,天津,2018
 ,化学学院,化学类（含化学、高分子材料与工程专业）,648,647,648,天津,2018
 ,岭南学院,经济学类（含金融学、经济学专业）,662,661,662,天津,2018
 ,生命科学学院,生物科学类（含生物科学、生物技术、生态学专业）,662,651,657,天津,2018
 ,数据科学与计算机学院,计算机类（含计算机科学与技术、网络空间安全专业）,661,659,660,天津,2018
 ,数学学院（珠海）,数学类（含数学与应用数学、信息与计算科学专业）（珠海）,660,656,658,天津,2018
 ,物理与天文学院,物理学（珠海）,647,646,647,天津,2018
 ,心理学系,心理学,657,650,654,天津,2018
 ,药学院（深圳）,药学（深圳）,658,649,654,天津,2018
 ,中山医学院,临床医学,671,670,671,天津,2018
 ,中山医学院,临床医学（八年制）,676,673,675,天津,2018
综合改革,传播与设计学院,新闻传播学类（含新闻学、传播学专业）,556,556,556,上海,2018
 ,电子与信息工程学院,电子信息类（含电子信息科学与技术、通信工程专业）,556,555,556,上海,2018
 ,法学院,法学,556,555,556,上海,2018
 ,公共卫生学院（深圳）,预防医学（深圳）,556,553,555,上海,2018
 ,光华口腔医学院,口腔医学,563,559,561,上海,2018
 ,国际翻译学院,外国语言文学类（含英语、阿拉伯语、西班牙语、朝鲜语、俄语专业）,557,555,556,上海,2018
 ,国际金融学院,工商管理类（含工商管理、会计学专业）,560,558,559,上海,2018
 ,海洋科学学院,海洋科学,558,558,558,上海,2018
 ,岭南学院,经济学类（含金融学、经济学专业）,570,561,567,上海,2018
 ,社会学与人类学学院,社会学,556,556,556,上海,2018
 ,生命科学学院,生物科学类（含生物科学、生物技术、生态学专业）,558,554,556,上海,2018
 ,数学学院,数学类（含数学与应用数学、统计学专业）,560,557,558,上海,2018
 ,心理学系,心理学,554,553,553,上海,2018
 ,药学院（深圳）,药学（深圳）,556,556,556,上海,2018
 ,医学院,临床医学（深圳）,565,560,563,上海,2018
 ,中法核工程与技术学院,核工程类（中法合作办学）（核工程与核技术专业）,554,554,554,上海,2018
 ,中山医学院,临床医学（八年制）,566,565,566,上海,2018
文科,传播与设计学院,新闻传播学类（含新闻学、传播学专业）,606,606,606,重庆,2018
 ,法学院,法学,612,606,608,重庆,2018
 ,国际金融学院,工商管理类（含工商管理、会计学专业）,606,606,606,重庆,2018
 ,国际金融学院,金融学,609,604,607,重庆,2018
 ,岭南学院,经济学类（含金融学、经济学专业）,615,605,610,重庆,2018
 ,旅游学院,旅游管理类（含旅游管理、会展经济与管理专业）,607,607,607,重庆,2018
 ,社会学与人类学学院,人类学（含人类学、考古学专业）,609,609,609,重庆,2018
 ,社会学与人类学学院,社会学,605,604,605,重庆,2018
 ,外国语学院,日语,608,604,606,重庆,2018
 ,外国语学院,英语,604,604,604,重庆,2018
 ,政治与公共事务管理学院,公共管理类（含行政管理、政治学与行政学专业）,611,609,610,重庆,2018
 ,中国语言文学系,汉语言文学,606,604,605,重庆,2018
理科,材料科学与工程学院,材料类（含材料物理、材料化学、高分子材料与工程专业）,658,656,657,重庆,2018
 ,大气科学学院,大气科学类（含大气科学、应用气象学专业）,657,657,657,重庆,2018
 ,地理科学与规划学院,地理科学类（含自然地理与资源环境、人文地理与城乡规划、地理信息科学、地理科学专业）,658,658,658,重庆,2018
 ,电子与通信工程学院,电子信息类（含电子信息科学与技术、通信工程专业）（深圳）,662,658,660,重庆,2018
 ,电子与信息工程学院,微电子科学与工程,664,658,661,重庆,2018
 ,公共卫生学院,预防医学,672,657,665,重庆,2018
 ,管理学院,工商管理,666,665,666,重庆,2018
 ,光华口腔医学院,口腔医学,669,668,669,重庆,2018
 ,光华口腔医学院,口腔医学（5+3）,675,674,675,重庆,2018
 ,国际金融学院,工商管理类（含工商管理、会计学专业）,662,660,661,重庆,2018
 ,国际金融学院,金融学,662,661,662,重庆,2018
 ,航空航天学院,理论与应用力学,659,658,659,重庆,2018
 ,化学学院,化学类（含化学、高分子材料与工程专业）,660,658,659,重庆,2018
 ,环境科学与工程学院,环境科学与工程类（含环境科学、环境工程专业）,662,658,660,重庆,2018
 ,岭南学院,经济学类（含金融学、经济学专业）,673,666,669,重庆,2018
 ,生命科学学院,生物科学类（含生物科学、生物技术、生态学专业）,665,658,661,重庆,2018
 ,数据科学与计算机学院,计算机类（含计算机科学与技术、网络空间安全专业）,668,665,666,重庆,2018
 ,数据科学与计算机学院（软件学院）,软件工程,668,664,665,重庆,2018
 ,数学学院（珠海）,数学类（含数学与应用数学、信息与计算科学专业）（珠海）,663,658,660,重庆,2018
 ,物理学院,光电信息科学与工程（理学）,663,657,660,重庆,2018
 ,物理与天文学院,物理学（珠海）,659,659,659,重庆,2018
 ,药学院（深圳）,药学（深圳）,658,658,658,重庆,2018
 ,智能工程学院,交通工程,661,659,660,重庆,2018
 ,智能工程学院,智能科学与技术,663,661,662,重庆,2018
 ,中法核工程与技术学院,核工程类（中法合作办学）（核工程与核技术专业）,663,660,662,重庆,2018
 ,中山医学院,临床医学,669,662,665,重庆,2018
 ,中山医学院,临床医学（八年制）,682,677,680,重庆,2018
文科,传播与设计学院,新闻传播学类（含新闻学、传播学专业）,634,621,625,广东,2018
 ,法学院,法学,633,619,624,广东,2018
 ,管理学院,工商管理,639,627,630,广东,2018
 ,管理学院,会计学,636,614,627,广东,2018
 ,国际翻译学院,外国语言文学类（含英语、阿拉伯语、西班牙语、朝鲜语、俄语专业）,623,612,615,广东,2018
 ,国际关系学院,国际政治,626,613,616,广东,2018
 ,国际金融学院,工商管理类（含工商管理、会计学专业）,628,619,624,广东,2018
 ,国际金融学院,金融学,635,618,626,广东,2018
 ,历史学系,历史学,632,615,621,广东,2018
 ,历史学系（珠海）,历史学（珠海）,617,612,614,广东,2018
 ,岭南学院,经济学类（含金融学、经济学专业）,640,634,636,广东,2018
 ,旅游学院,旅游管理类（含旅游管理、会展经济与管理专业）,625,612,615,广东,2018
 ,社会学与人类学学院,人类学（含人类学、考古学专业）,620,614,616,广东,2018
 ,社会学与人类学学院,社会学,635,618,622,广东,2018
 ,外国语学院,德语,620,614,617,广东,2018
 ,外国语学院,法语,624,616,620,广东,2018
 ,外国语学院,日语,625,614,617,广东,2018
 ,外国语学院,英语,637,617,624,广东,2018
 ,哲学系,哲学,630,616,620,广东,2018
 ,哲学系（珠海）,哲学（珠海）,617,612,614,广东,2018
 ,政治与公共事务管理学院,公共管理类（含行政管理、政治学与行政学专业）,632,617,620,广东,2018
 ,中国语言文学系,汉语言文学,634,619,624,广东,2018
 ,中国语言文学系（珠海）,汉语言文学（珠海）,619,616,617,广东,2018
 ,资讯管理学院,图书情报与档案管理类（含图书馆学、档案学专业）,620,614,617,广东,2018
理科,材料科学与工程学院,材料类（含材料物理、材料化学、高分子材料与工程专业）,641,615,622,广东,2018
 ,材料学院,材料类（含材料物理、材料化学专业）,620,609,614,广东,2018
 ,传播与设计学院,新闻传播学类（含新闻学、传播学专业）,637,625,632,广东,2018
 ,大气科学学院,大气科学类（含大气科学、应用气象学专业）,620,608,612,广东,2018
 ,地理科学与规划学院,城乡规划,639,628,634,广东,2018
 ,地理科学与规划学院,地理科学类（含自然地理与资源环境、人文地理与城乡规划、地理信息科学、地理科学专业）,639,612,617,广东,2018
 ,地球科学与工程学院,地质学类（含地质学、地质工程专业）,611,607,609,广东,2018
 ,电子与通信工程学院,电子信息类（含电子信息科学与技术、通信工程专业）（深圳）,634,617,624,广东,2018
 ,电子与信息工程学院,电子信息类（含电子信息科学与技术、通信工程专业）,647,632,637,广东,2018
 ,电子与信息工程学院,光电信息科学与工程（工学）,637,623,629,广东,2018
 ,电子与信息工程学院,微电子科学与工程,644,630,635,广东,2018
 ,法学院,法学,651,640,644,广东,2018
 ,公共卫生学院,预防医学,634,608,615,广东,2018
 ,公共卫生学院（深圳）,预防医学（深圳）,624,608,612,广东,2018
 ,管理学院,工商管理,649,626,641,广东,2018
 ,管理学院,会计学,653,630,644,广东,2018
 ,光华口腔医学院,口腔医学,644,636,641,广东,2018
 ,光华口腔医学院,口腔医学（5+3）,658,638,649,广东,2018
 ,国际翻译学院,外国语言文学类（含英语、阿拉伯语、西班牙语、朝鲜语、俄语专业）,637,628,631,广东,2018
 ,国际关系学院,国际政治,622,612,616,广东,2018
 ,国际金融学院,工商管理类（含工商管理、会计学专业）,643,613,627,广东,2018
 ,国际金融学院,金融学,648,627,638,广东,2018
 ,海洋工程与技术学院,海洋工程与技术,625,608,612,广东,2018
 ,海洋科学学院,海洋科学,628,608,612,广东,2018
 ,航空航天学院,航空航天工程,622,610,614,广东,2018
 ,航空航天学院,理论与应用力学,631,609,615,广东,2018
 ,化学工程与技术学院,化学工程与工艺,619,607,612,广东,2018
 ,化学学院,化学类（含化学、高分子材料与工程专业）,653,615,623,广东,2018
 ,环境科学与工程学院,环境科学与工程类（含环境科学、环境工程专业）,637,614,622,广东,2018
 ,历史学系,历史学,634,609,614,广东,2018
 ,岭南学院,管理科学与工程类（含国际商务、管理科学专业）,662,642,652,广东,2018
 ,岭南学院,经济学类（含金融学、经济学专业）,677,645,656,广东,2018
 ,旅游学院,旅游管理类（含旅游管理、会展经济与管理专业）,628,620,624,广东,2018
 ,生命科学学院,生物科学类（含生物科学、生物技术、生态学专业）,655,615,625,广东,2018
 ,生物医学工程学院,生物医学工程,635,608,614,广东,2018
 ,数据科学与计算机学院,保密管理,639,626,630,广东,2018
 ,数据科学与计算机学院,计算机类（含计算机科学与技术、网络空间安全专业）,662,642,648,广东,2018
 ,数据科学与计算机学院,信息与计算科学,651,639,643,广东,2018
 ,数据科学与计算机学院（软件学院）,软件工程,656,638,642,广东,2018
 ,数学学院,数学类（含数学与应用数学、统计学专业）,654,633,638,广东,2018
 ,数学学院（珠海）,数学类（含数学与应用数学、信息与计算科学专业）（珠海）,635,621,627,广东,2018
 ,土木工程学院,水文与水资源工程,619,608,613,广东,2018
 ,土木工程学院,土木工程,633,608,614,广东,2018
 ,物理学院,光电信息科学与工程（理学）,637,621,627,广东,2018
 ,物理学院,物理学,660,628,642,广东,2018
 ,物理与天文学院,物理学（珠海）,630,612,619,广东,2018
 ,心理学系,心理学,638,617,623,广东,2018
 ,药学院,药学,644,613,623,广东,2018
 ,药学院（深圳）,药学（深圳）,624,608,613,广东,2018
 ,医学院,临床医学（深圳）,630,609,618,广东,2018
 ,哲学系,逻辑学,631,621,627,广东,2018
 ,哲学系,哲学,628,617,622,广东,2018
 ,政治与公共事务管理学院,公共管理类（含行政管理、政治学与行政学专业）,638,627,631,广东,2018
 ,智能工程学院,交通工程,645,608,618,广东,2018
 ,智能工程学院,智能科学与技术,649,631,636,广东,2018
 ,中法核工程与技术学院,核工程类（中法合作办学）（核工程与核技术专业）,628,608,614,广东,2018
文科,传播与设计学院,新闻传播学类（含新闻学、传播学专业）,643,641,642,山东,2018
 ,法学院,法学,644,642,643,山东,2018
 ,管理学院,会计学,648,644,646,山东,2018
 ,国际翻译学院,外国语言文学类（含英语、阿拉伯语、西班牙语、朝鲜语、俄语专业）,641,640,641,山东,2018
 ,国际关系学院,国际政治,640,638,639,山东,2018
 ,国际金融学院,工商管理类（含工商管理、会计学专业）,642,641,641,山东,2018
 ,国际金融学院,金融学,645,644,645,山东,2018
 ,历史学系,历史学,641,639,640,山东,2018
 ,岭南学院,经济学类（含金融学、经济学专业）,648,640,644,山东,2018
 ,旅游学院,旅游管理类（含旅游管理、会展经济与管理专业）,642,638,639,山东,2018
 ,社会学与人类学学院,人类学（含人类学、考古学专业）,639,639,639,山东,2018
 ,社会学与人类学学院,社会学,643,641,642,山东,2018
 ,外国语学院,德语,641,641,641,山东,2018
 ,外国语学院,法语,639,638,639,山东,2018
 ,外国语学院,日语,639,639,639,山东,2018
 ,哲学系,哲学,642,642,642,山东,2018
 ,政治与公共事务管理学院,公共管理类（含行政管理、政治学与行政学专业）,641,640,641,山东,2018
 ,中国语言文学系（珠海）,汉语言文学（珠海）,643,639,641,山东,2018
理科,材料科学与工程学院,材料类（含材料物理、材料化学、高分子材料与工程专业）,658,649,654,山东,2018
 ,大气科学学院,大气科学类（含大气科学、应用气象学专业）,650,648,649,山东,2018
 ,地理科学与规划学院,地理科学类（含自然地理与资源环境、人文地理与城乡规划、地理信息科学、地理科学专业）,657,653,655,山东,2018
 ,地球科学与工程学院,地质学类（含地质学、地质工程专业）,650,648,649,山东,2018
 ,电子与通信工程学院,电子信息类（含电子信息科学与技术、通信工程专业）（深圳）,658,649,654,山东,2018
 ,电子与信息工程学院,微电子科学与工程,653,652,652,山东,2018
 ,公共卫生学院（深圳）,预防医学（深圳）,658,653,655,山东,2018
 ,管理学院,会计学,658,651,653,山东,2018
 ,光华口腔医学院,口腔医学,661,658,660,山东,2018
 ,国际金融学院,工商管理类（含工商管理、会计学专业）,656,652,654,山东,2018
 ,国际金融学院,金融学,661,655,657,山东,2018
 ,海洋科学学院,海洋科学,656,648,651,山东,2018
 ,航空航天学院,航空航天工程,655,648,651,山东,2018
 ,化学学院,化学类（含化学、高分子材料与工程专业）,653,648,650,山东,2018
 ,环境科学与工程学院,环境科学与工程类（含环境科学、环境工程专业）,654,649,651,山东,2018
 ,岭南学院,管理科学与工程类（含国际商务、管理科学专业）,661,655,657,山东,2018
 ,岭南学院,经济学类（含金融学、经济学专业）,666,661,663,山东,2018
 ,生命科学学院,生物科学类（含生物科学、生物技术、生态学专业）,659,654,656,山东,2018
 ,生物医学工程学院,生物医学工程,657,651,653,山东,2018
 ,数据科学与计算机学院,计算机类（含计算机科学与技术、网络空间安全专业）,667,657,661,山东,2018
 ,数据科学与计算机学院（软件学院）,软件工程,657,654,656,山东,2018
 ,数学学院（珠海）,数学类（含数学与应用数学、信息与计算科学专业）（珠海）,658,651,654,山东,2018
 ,土木工程学院,水文与水资源工程,650,649,650,山东,2018
 ,土木工程学院,土木工程,653,648,651,山东,2018
 ,物理学院,光电信息科学与工程（理学）,653,648,651,山东,2018
 ,物理学院,物理学,663,660,662,山东,2018
 ,心理学系,心理学,658,658,658,山东,2018
 ,药学院,药学,669,650,657,山东,2018
 ,智能工程学院,交通工程,656,649,651,山东,2018
 ,中法核工程与技术学院,核工程类（中法合作办学）（核工程与核技术专业）,651,649,650,山东,2018
 ,中山医学院,临床医学,668,658,662,山东,2018
 ,中山医学院,临床医学（八年制）,677,672,675,山东,2018
文科,传播与设计学院,新闻传播学类（含新闻学、传播学专业）,382,382,382,江苏,2018
 ,法学院,法学,384,383,384,江苏,2018
 ,管理学院,工商管理,384,384,384,江苏,2018
 ,管理学院,会计学,382,382,382,江苏,2018
 ,国际关系学院,国际政治,383,382,383,江苏,2018
 ,国际金融学院,工商管理类（含工商管理、会计学专业）,384,382,383,江苏,2018
 ,历史学系,历史学,383,382,383,江苏,2018
 ,岭南学院,经济学类（含金融学、经济学专业）,387,386,387,江苏,2018
 ,旅游学院,旅游管理类（含旅游管理、会展经济与管理专业）,383,382,383,江苏,2018
 ,社会学与人类学学院,人类学（含人类学、考古学专业）,387,382,384,江苏,2018
 ,外国语学院,日语,383,382,383,江苏,2018
 ,外国语学院,英语,384,383,384,江苏,2018
 ,哲学系,哲学,383,382,383,江苏,2018
 ,政治与公共事务管理学院,公共管理类（含行政管理、政治学与行政学专业）,383,383,383,江苏,2018
 ,中国语言文学系（珠海）,汉语言文学（珠海）,385,384,385,江苏,2018
理科,材料学院,材料类（含材料物理、材料化学专业）,384,383,383,江苏,2018
 ,大气科学学院,大气科学类（含大气科学、应用气象学专业）,384,383,384,江苏,2018
 ,地理科学与规划学院,地理科学类（含自然地理与资源环境、人文地理与城乡规划、地理信息科学、地理科学专业）,384,383,384,江苏,2018
 ,电子与信息工程学院,电子信息类（含电子信息科学与技术、通信工程专业）,385,383,384,江苏,2018
 ,电子与信息工程学院,光电信息科学与工程（工学）,384,383,384,江苏,2018
 ,电子与信息工程学院,微电子科学与工程,386,384,385,江苏,2018
 ,公共卫生学院,预防医学,388,384,385,江苏,2018
 ,管理学院,工商管理,390,386,388,江苏,2018
 ,管理学院,会计学,389,385,388,江苏,2018
 ,光华口腔医学院,口腔医学,392,389,391,江苏,2018
 ,海洋工程与技术学院,海洋工程与技术,385,384,384,江苏,2018
 ,化学工程与技术学院,化学工程与工艺,386,383,384,江苏,2018
 ,环境科学与工程学院,环境科学与工程类（含环境科学、环境工程专业）,386,384,385,江苏,2018
 ,岭南学院,管理科学与工程类（含国际商务、管理科学专业）,384,384,384,江苏,2018
 ,岭南学院,经济学类（含金融学、经济学专业）,390,390,390,江苏,2018
 ,生命科学学院,生物科学类（含生物科学、生物技术、生态学专业）,389,385,387,江苏,2018
 ,数据科学与计算机学院,计算机类（含计算机科学与技术、网络空间安全专业）,389,388,389,江苏,2018
 ,数学学院（珠海）,数学类（含数学与应用数学、信息与计算科学专业）（珠海）,387,385,386,江苏,2018
 ,土木工程学院,土木工程,385,383,384,江苏,2018
 ,物理学院,物理学,385,384,385,江苏,2018
 ,药学院（深圳）,药学（深圳）,388,386,387,江苏,2018
 ,中法核工程与技术学院,核工程类（中法合作办学）（核工程与核技术专业）,386,383,385,江苏,2018
 ,中山医学院,临床医学,392,385,389,江苏,2018
 ,中山医学院,临床医学（八年制）,401,395,398,江苏,2018
文科,传播与设计学院,新闻传播学类（含新闻学、传播学专业）,623,621,622,四川,2018
 ,法学院,法学,628,622,624,四川,2018
 ,管理学院,会计学,624,624,624,四川,2018
 ,国际翻译学院,外国语言文学类（含英语、阿拉伯语、西班牙语、朝鲜语、俄语专业）,625,623,624,四川,2018
 ,国际关系学院,国际政治,619,619,619,四川,2018
 ,国际金融学院,工商管理类（含工商管理、会计学专业）,626,621,624,四川,2018
 ,国际金融学院,金融学,627,626,627,四川,2018
 ,历史学系（珠海）,历史学（珠海）,620,620,620,四川,2018
 ,岭南学院,经济学类（含金融学、经济学专业）,628,628,628,四川,2018
 ,社会学与人类学学院,人类学（含人类学、考古学专业）,620,620,620,四川,2018
 ,社会学与人类学学院,社会学,620,620,620,四川,2018
 ,外国语学院,英语,623,623,623,四川,2018
 ,哲学系,哲学,625,625,625,四川,2018
 ,政治与公共事务管理学院,公共管理类（含行政管理、政治学与行政学专业）,624,619,621,四川,2018
 ,中国语言文学系（珠海）,汉语言文学（珠海）,622,621,622,四川,2018
 ,资讯管理学院,图书情报与档案管理类（含图书馆学、档案学专业）,621,621,621,四川,2018
理科,材料学院,材料类（含材料物理、材料化学专业）,658,657,658,四川,2018
 ,地理科学与规划学院,城乡规划,661,658,660,四川,2018
 ,地理科学与规划学院,地理科学类（含自然地理与资源环境、人文地理与城乡规划、地理信息科学、地理科学专业）,662,657,659,四川,2018
 ,电子与通信工程学院,电子信息类（含电子信息科学与技术、通信工程专业）（深圳）,662,657,659,四川,2018
