科类,院系,专业,最高分,最低分,平均分,省份,年份
文科,传播与设计学院,新闻传播学类,634,629,632,北京,2017
文科,法学院,法学,639,639,639,北京,2017
文科,国际翻译学院,外国语言文学类,,,,北京,2017
文科,国际关系学院,国际政治,633,626,630,北京,2017
文科,岭南学院,经济学类,633,633,633,北京,2017
文科,政治与公共事务管理学院,公共管理类,631,628,630,北京,2017
文科,中国语言文学系（广州）,汉语言文学,,,,北京,2017
文科,中国语言文学系（珠海）,汉语言文学,639,624,628,北京,2017
文科,资讯管理学院,图书情报与档案管理类,628,624,627,北京,2017
理科,工学院,能源与动力工程,,,,北京,2017
理科,公共卫生学院（广州）,预防医学,,,,北京,2017
理科,电子与通信工程学院,电子信息类,634,633,634,北京,2017
理科,管理学院,工商管理类,,,,北京,2017
理科,管理学院,工商管理,645,629,636,北京,2017
理科,光华口腔医学院,口腔医学,632,606,619,北京,2017
理科,化学学院,化学类,,,,北京,2017
理科,化学工程与技术学院,化学工程与工艺,631,613,623,北京,2017
理科,岭南学院,经济学类,644,634,640,北京,2017
理科,生命科学学院,生物科学类,639,639,639,北京,2017
理科,数据科学与计算机学院,计算机类,639,636,637,北京,2017
理科,数据科学与计算机学院（软件学院）,软件工程,639,628,631,北京,2017
理科,数学学院（广州）,数学类,,,,北京,2017
理科,数学学院（珠海）,数学类,646,637,641,北京,2017
理科,物理学院（广州）,物理学,637,635,636,北京,2017
理科,药学院（广州）,药学,634,624,629,北京,2017
理科,中法核工程与技术学院,核工程类（中外合作办学）（核工程与核技术专业）,635,620,625,北京,2017
理科,中山医学院,临床医学,640,628,635,北京,2017
理科,中山医学院,临床医学（八年制）,652,630,637,北京,2017
综合改革,传播与设计学院,新闻传播学类,550,548,549,上海,2017
综合改革,电子与通信工程学院,电子信息类,563,549,554,上海,2017
综合改革,法学院,法学,550,549,549,上海,2017
综合改革,公共卫生学院(广州）,预防医学,552,549,550,上海,2017
综合改革,光华口腔医学院,口腔医学,556,555,556,上海,2017
综合改革,国际翻译学院,外国语言文学类,553,553,553,上海,2017
综合改革,国际金融学院,工商管理类,549,548,549,上海,2017
综合改革,岭南学院,经济学类,559,555,557,上海,2017
综合改革,社会学与人类学学院,社会学,548,548,548,上海,2017
综合改革,生命科学学院,生物科学类,549,549,549,上海,2017
综合改革,数据科学与计算机学院,保密管理,547,547,547,上海,2017
综合改革,数学学院（珠海）,数学类,554,551,553,上海,2017
综合改革,心理学系,心理学,550,548,549,上海,2017
综合改革,药学院（深圳）,药学,552,549,550,上海,2017
综合改革,中法核工程与技术学院,核工程类（中法合作办学）（核工程与核技术专业）,552,548,550,上海,2017
综合改革,中山医学院,临床医学,555,554,555,上海,2017
综合改革,中山医学院,临床医学（八年制）,558,557,558,上海,2017
文科,传播与设计学院,新闻传播学类,602,602,602,天津,2017
文科,法学院,法学,612,609,611,天津,2017
文科,国际翻译学院,外国语言文学类,602,600,601,天津,2017
文科,岭南学院,经济学类,622,616,619,天津,2017
文科,社会学与人类学学院,人类学,609,602,606,天津,2017
文科,外国语学院,法语,605,605,605,天津,2017
文科,外国语学院,英语,606,606,606,天津,2017
文科,中国语言文学系（珠海）,汉语言文学,,,,天津,2017
文科,中国语言文学系（广州）,汉语言文学,602,601,602,天津,2017
理科,电子与信息工程学院,电子信息类,,,,天津,2017
理科,电子与通信工程学院,电子信息类,636,630,632,天津,2017
理科,公共卫生学院（广州）,预防医学,,,,天津,2017
理科,公共卫生学院（深圳）,预防医学,629,625,627,天津,2017
理科,管理学院,工商管理类,,,,天津,2017
理科,管理学院,会计学,651,646,649,天津,2017
理科,光华口腔医学院,口腔医学,655,646,651,天津,2017
理科,国际翻译学院,外国语言文学类,,,,天津,2017
理科,国际金融学院,经济学类,,,,天津,2017
理科,国际金融学院,金融学,645,640,643,天津,2017
理科,海洋科学学院,海洋科学,628,625,626,天津,2017
理科,化学工程与技术学院,化学工程与工艺,,,,天津,2017
理科,化学学院,化学类,631,627,629,天津,2017
理科,岭南学院,经济学类,643,641,642,天津,2017
理科,旅游学院,旅游管理类,628,627,628,天津,2017
理科,生命科学学院,生物科学类,635,630,633,天津,2017
理科,数据科学与计算机学院,计算机类,646,643,645,天津,2017
理科,数据科学与计算机学院（软件学院）,软件工程,,,,天津,2017
理科,数学学院（珠海）,数学类,,,,天津,2017
理科,数学学院（广州）,数学类,647,643,645,天津,2017
理科,物理学院,光电信息科学与工程,642,640,641,天津,2017
理科,心理学系,心理学,636,629,633,天津,2017
理科,药学院（广州）,药学,638,632,635,天津,2017
理科,医学院（深圳）,临床医学,646,644,645,天津,2017
理科,中山医学院,临床医学（八年制）,,,,天津,2017
综合改革,材料学院,材料类,649,646,647,浙江,2017
综合改革,大气科学学院,大气科学类,647,645,646,浙江,2017
综合改革,地理科学与规划学院,地理科学类,647,646,647,浙江,2017
综合改革,电子与信息工程学院,电子信息类,649,648,649,浙江,2017
综合改革,电子与信息工程学院,光电信息科学与工程,647,647,647,浙江,2017
综合改革,法学院,法学,649,649,649,浙江,2017
综合改革,公共卫生学院（广州）,预防医学,651,649,650,浙江,2017
综合改革,管理学院,会计学,659,653,656,浙江,2017
综合改革,光华口腔医学院,口腔医学（5+3）,657,656,657,浙江,2017
综合改革,国际翻译学院,外国语言文学类,647,647,647,浙江,2017
综合改革,国际关系学院,国际政治,648,646,647,浙江,2017
综合改革,国际金融学院,工商管理类,652,651,652,浙江,2017
综合改革,国际金融学院,金融学,652,652,652,浙江,2017
综合改革,海洋工程与技术学院,海洋科学,647,642,645,浙江,2017
综合改革,化学工程与技术学院,化学工程与工艺,645,645,645,浙江,2017
