科类,院系,专业,最高分,最低分,平均分,省份,年份
综合改革,环境科学与工程学院,环境科学与工程类,647,646,647,浙江,2017
综合改革,岭南学院,经济学类,656,654,655,浙江,2017
综合改革,旅游学院,旅游管理类,646,645,646,浙江,2017
综合改革,社会学与人类学学院,社会学,654,649,652,浙江,2017
综合改革,生命科学学院,生物科学类,649,646,648,浙江,2017
综合改革,生物医学工程学院,生物医学工程,647,645,646,浙江,2017
综合改革,数据科学与计算机学院,计算机类,651,650,650,浙江,2017
综合改革,数据科学与计算机学院,信息与计算科学,650,649,650,浙江,2017
综合改革,数据科学与计算机学院（软件学院）,软件工程,649,648,649,浙江,2017
综合改革,数学学院（珠海）,数学类,650,650,650,浙江,2017
综合改革,土木工程学院,土木工程,646,645,646,浙江,2017
综合改革,外国语学院,日语,647,646,647,浙江,2017
综合改革,外国语学院,英语,648,648,648,浙江,2017
综合改革,物理与天文学院,物理学,649,646,647,浙江,2017
综合改革,心理学系,心理学,647,646,647,浙江,2017
综合改革,药学院（深圳）,药学,646,645,645,浙江,2017
综合改革,哲学系（珠海）,哲学,646,645,646,浙江,2017
综合改革,智能工程学院,自动化,647,647,647,浙江,2017
综合改革,中法核工程与技术学院,核工程类（中法合作办学）（核工程与核技术专业）,644,642,643,浙江,2017
综合改革,中国语言文学系（广州）,汉语言文学,652,648,650,浙江,2017
综合改革,中山医学院,临床医学,672,653,656,浙江,2017
综合改革,中山医学院,临床医学（八年制）,677,676,677,浙江,2017
综合改革,资讯管理学院,信息管理与信息系统,649,648,649,浙江,2017
文科,传播与设计学院,新闻传播学类,625,621,623,重庆,2017
文科,法学院,法学,625,617,621,重庆,2017
文科,国际翻译学院,外国语言文学类,618,618,618,重庆,2017
文科,国际金融学院,工商管理类,628,625,627,重庆,2017
文科,国际金融学院,经济学类,,,,重庆,2017
文科,岭南学院,经济学类,631,631,631,重庆,2017
文科,社会学与人类学学院,人类学,616,616,616,重庆,2017
文科,社会学与人类学学院,社会学,619,619,619,重庆,2017
文科,外国语学院,日语,615,614,615,重庆,2017
文科,外国语学院,英语,617,617,617,重庆,2017
文科,政治与公共事务管理学院,公共管理类,620,615,618,重庆,2017
文科,中国语言文学系（广州）,汉语言文学,,,,重庆,2017
文科,中国语言文学系（珠海）,汉语言文学,629,614,622,重庆,2017
文科,资讯管理学院,图书情报与档案管理类,626,616,621,重庆,2017
理科,材料科学与工程学院,材料类,,,,重庆,2017
理科,材料学院,材料类,642,639,640,重庆,2017
理科,大气科学学院,大气科学类,639,639,639,重庆,2017
理科,地理科学与规划学院,地理科学类,639,639,639,重庆,2017
理科,地球科学与工程学院,地质类,638,638,638,重庆,2017
理科,电子与信息工程学院,微电子科学与工程,654,645,650,重庆,2017
理科,工学院,交通工程,640,638,639,重庆,2017
理科,工学院,能源与动力工程,,,,重庆,2017
理科,公共卫生学院（广州）,预防医学,,,,重庆,2017
理科,公共卫生学院（深圳）,预防医学,646,640,643,重庆,2017
理科,管理学院,工商管理类,,,,重庆,2017
理科,管理学院,工商管理,647,642,645,重庆,2017
理科,光华口腔医学院,口腔医学,653,652,653,重庆,2017
理科,光华口腔医学院,口腔医学（5+3）,657,654,656,重庆,2017
理科,国际金融学院,经济学类,,,,重庆,2017
理科,国际金融学院,金融学,650,649,650,重庆,2017
理科,海洋科学学院,海洋科学,639,639,639,重庆,2017
理科,化学学院,化学类,649,641,646,重庆,2017
理科,环境科学与工程学院,环境科学与工程类,644,640,642,重庆,2017
理科,岭南学院,经济学类,657,655,656,重庆,2017
理科,旅游学院,旅游管理类,643,639,641,重庆,2017
理科,生命科学学院,生物科学类,657,640,646,重庆,2017
理科,数据科学与计算机学院,计算机类,650,646,648,重庆,2017
理科,数据科学与计算机学院（软件学院）,软件工程,648,642,644,重庆,2017
理科,数学学院（珠海）,数学类,,,,重庆,2017
理科,数学学院（广州）,数学类,654,648,650,重庆,2017
理科,物理学院（广州）,光电信息科学与工程,650,636,643,重庆,2017
理科,药学院（广州）,药学,649,639,644,重庆,2017
理科,医学院（深圳）,临床医学,658,631,648,重庆,2017
理科,哲学系（广州）,逻辑学,641,641,641,重庆,2017
理科,中法核工程与技术学院,核工程类（中外合作办学）（核工程与核技术专业）,639,639,639,重庆,2017
理科,中山医学院,康复治疗学,,,,重庆,2017
理科,中山医学院,临床医学（八年制）,673,657,665,重庆,2017
理科,航空航天学院,理论与应用力学,640,640,640,重庆,2017
理科,智能工程学院,智能科学与技术,653,632,643,重庆,2017
文科,传播与设计学院,新闻传播学类,611,600,605,广东,2017
文科,法学院,法学,615,601,605,广东,2017
文科,管理学院,工商管理类,,,,广东,2017
文科,管理学院,工商管理,619,609,613,广东,2017
文科,管理学院,会计学,624,610,613,广东,2017
文科,国际翻译学院,外国语言文学类,603,590,595,广东,2017
文科,国际关系学院,国际政治,605,592,597,广东,2017
文科,国际金融学院,经济学类,,,,广东,2017
文科,国际金融学院,工商管理类,609,603,606,广东,2017
文科,国际金融学院,金融学,616,605,609,广东,2017
文科,历史学系（广州）,历史学,611,595,599,广东,2017
文科,历史学系（珠海）,历史学,598,591,594,广东,2017
文科,岭南学院,经济学类,625,616,619,广东,2017
文科,旅游学院,旅游管理类,608,591,594,广东,2017
文科,社会学与人类学学院,人类学,611,595,598,广东,2017
文科,社会学与人类学学院,社会学,619,598,602,广东,2017
文科,外国语学院,德语,612,596,599,广东,2017
文科,外国语学院,法语,604,595,599,广东,2017
文科,外国语学院,日语,602,594,597,广东,2017
文科,外国语学院,英语,614,598,602,广东,2017
文科,哲学系（广州）,哲学,602,591,597,广东,2017
文科,哲学系（珠海）,哲学,606,591,593,广东,2017
文科,政治与公共事务管理学院,公共管理类,613,598,601,广东,2017
文科,中国语言文学系（广州）,汉语言文学,617,599,605,广东,2017
文科,中国语言文学系（珠海）,汉语言文学,601,592,595,广东,2017
文科,资讯管理学院,图书情报与档案管理类,599,591,594,广东,2017
理科,材料科学与工程学院,材料类,622,599,606,广东,2017
理科,材料学院,材料类,619,582,596,广东,2017
理科,传播与设计学院,新闻传播学类,618,612,615,广东,2017
理科,大气科学学院,大气科学类,612,581,593,广东,2017
理科,地理科学与规划学院,城乡规划,620,613,616,广东,2017
理科,地理科学与规划学院,地理科学类,617,589,597,广东,2017
理科,地理科学与规划学院,水文与水资源工程,,,,广东,2017
理科,"地球科学与
工程学院",地质学类,597,582,589,广东,2017
理科,电子与通信工程学院,电子信息类,618,587,604,广东,2017
理科,电子与信息工程学院,电子信息类,631,616,620,广东,2017
理科,电子与信息工程学院,光电信息科学与工程,641,609,615,广东,2017
理科,电子与信息工程学院,微电子科学与工程,624,611,615,广东,2017
理科,法学院,法学,622,617,619,广东,2017
理科,工学院,交通工程,616,602,607,广东,2017
理科,工学院,理论与应用力学,611,607,609,广东,2017
理科,工学院,能源与动力工程,,,,广东,2017
理科,工学院,生物医学工程,,,,广东,2017
理科,生物医学工程学院,生物医学工程,618,581,596,广东,2017
理科,公共卫生学院（广州）,卫生检验与检疫,,,,广东,2017
理科,公共卫生学院（广州）,预防医学,618,581,597,广东,2017
理科,公共卫生学院（深圳）,预防医学,608,581,591,广东,2017
理科,管理学院,工商管理类,,,,广东,2017
理科,管理学院,工商管理,634,624,628,广东,2017
理科,管理学院,会计学,640,624,630,广东,2017
文科,传播与设计学院,新闻传播学类,620,617,619,山东,2017
文科,法学院,法学,624,617,620,山东,2017
文科,管理学院,工商管理类,,,,山东,2017
文科,管理学院,会计学,615,615,615,山东,2017
文科,国际翻译学院,外国语言文学类,617,616,617,山东,2017
文科,国际关系学院,国际政治,616,616,616,山东,2017
文科,国际金融学院,工商管理类,616,615,616,山东,2017
文科,历史学系（广州）,历史学,,,,山东,2017
文科,历史学系（珠海）,历史学,616,614,615,山东,2017
文科,岭南学院,经济学类,632,630,631,山东,2017
文科,社会学与人类学学院,人类学,616,614,615,山东,2017
文科,社会学与人类学学院,社会学,617,615,616,山东,2017
文科,外国语学院,德语,625,614,619,山东,2017
文科,外国语学院,法语,614,614,614,山东,2017
文科,外国语学院,日语,616,613,615,山东,2017
文科,哲学系（广州）,哲学,,,,山东,2017
文科,哲学系（珠海）,哲学,614,614,614,山东,2017
文科,政治与公共事务管理学院,公共管理类,625,614,618,山东,2017
文科,中国语言文学系（珠海）,汉语言文学,,,,山东,2017
文科,中国语言文学系（广州）,汉语言文学,619,616,618,山东,2017
文科,资讯管理学院,图书情报与档案管理类,615,615,615,山东,2017
理科,材料科学与工程学院,材料类,,,,山东,2017
理科,材料学院,材料类,650,642,645,山东,2017
理科,大气科学学院,大气科学类,646,644,645,山东,2017
理科,地理科学与规划学院,地理科学类,666,644,652,山东,2017
理科,地球科学与工程学院,地质学类,645,641,643,山东,2017
理科,电子与信息工程学院,电子信息类,654,649,651,山东,2017
理科,电子与信息工程学院,光电信息科学与工程,650,644,646,山东,2017
理科,电子与信息工程学院,微电子科学与工程,648,645,646,山东,2017
理科,工学院,交通工程,646,642,644,山东,2017
理科,工学院,理论与应用力学,643,642,643,山东,2017
理科,工学院,生物医学工程,,,,山东,2017
理科,生物医学工程学院,生物医学工程,645,642,643,山东,2017
理科,公共卫生学院（广州）,预防医学,644,644,644,山东,2017
理科,管理学院,工商管理类,,,,山东,2017
理科,管理学院,会计学,656,651,654,山东,2017
理科,光华口腔医学院,口腔医学,654,652,653,山东,2017
理科,国际翻译学院,外国语言文学类,,,,山东,2017
理科,国际金融学院,经济学类,,,,山东,2017
理科,国际金融学院,金融学,657,654,656,山东,2017
理科,海洋科学学院,海洋科学,,,,山东,2017
理科,海洋工程与技术学院,海洋科学,649,642,646,山东,2017
理科,化学工程与技术学院,化学工程与工艺,,,,山东,2017
理科,化学学院,化学类,657,642,648,山东,2017
理科,环境科学与工程学院,环境科学与工程类,647,641,645,山东,2017
理科,岭南学院,经济学类,662,658,660,山东,2017
理科,旅游学院,旅游管理类,643,642,642,山东,2017
理科,生命科学学院,生物科学类,656,642,645,山东,2017
理科,数据科学与计算机学院,计算机类,660,648,651,山东,2017
理科,数据科学与计算机学院（软件学院）,软件工程,656,647,651,山东,2017
文科,传播与设计学院,新闻传播学类,380,380,380,江苏,2017
文科,法学院,法学,381,379,380,江苏,2017
文科,国际翻译学院,外国语言文学类,,,,江苏,2017
文科,国际关系学院,国际政治,380,378,379,江苏,2017
文科,国际金融学院,工商管理类,380,379,380,江苏,2017
文科,历史学系（珠海）,历史学,,,,江苏,2017
文科,历史学系（广州）,历史学,379,378,379,江苏,2017
文科,岭南学院,经济学类,382,381,382,江苏,2017
文科,社会学与人类学学院,人类学,379,379,379,江苏,2017
文科,外国语学院,日语,378,378,378,江苏,2017
文科,外国语学院,英语,379,378,379,江苏,2017
文科,哲学系（珠海）,哲学,378,378,378,江苏,2017
文科,政治与公共事务管理学院,公共管理类,379,379,379,江苏,2017
文科,中国语言文学系（珠海）,汉语言文学,,,,江苏,2017
文科,中国语言文学系(广州）,汉语言文学,379,378,379,江苏,2017
文科,资讯管理学院,图书情报与档案管理类,379,379,379,江苏,2017
理科,材料科学与工程学院,材料类,380,378,379,江苏,2017
理科,大气科学学院,大气科学类,379,378,379,江苏,2017
理科,地理科学与规划学院,地理科学类,379,379,379,江苏,2017
理科,电子与通信工程学院,电子信息类,381,379,380,江苏,2017
理科,电子与信息工程学院,微电子科学与工程,382,379,381,江苏,2017
理科,工学院,理论与应用力学,380,379,379,江苏,2017
理科,工学院,能源与动力工程,,,,江苏,2017
理科,公共卫生学院（广州）,预防医学,,,,江苏,2017
理科,公共卫生学院（深圳）,预防医学,380,379,380,江苏,2017
理科,管理学院,工商管理类,,,,江苏,2017
理科,管理学院,工商管理,385,382,383,江苏,2017
理科,光华口腔医学院,口腔医学,383,382,383,江苏,2017
理科,国际翻译学院,外国语言文学类,,,,江苏,2017
理科,海洋科学学院,海洋科学,379,379,379,江苏,2017
理科,化学学院,化学类,,,,江苏,2017
理科,化学工程与技术学院,化学工程与工艺,380,378,379,江苏,2017
理科,环境科学与工程学院,环境科学与工程类,380,379,380,江苏,2017
理科,岭南学院,管理科学与工程类,385,384,385,江苏,2017
理科,岭南学院,经济学类,389,386,388,江苏,2017
理科,旅游学院,旅游管理类,380,380,380,江苏,2017
理科,生命科学学院,生物科学类,383,381,382,江苏,2017
理科,数据科学与计算机学院,计算机类,383,383,383,江苏,2017
理科,数据科学与计算机学院（软件学院）,软件工程,,,,江苏,2017
理科,数学学院（珠海）,数学类,,,,江苏,2017
理科,数学学院（广州）,数学类,383,381,382,江苏,2017
理科,物理学院（广州）,光电信息科学与工程,382,379,380,江苏,2017
理科,物理学院（广州）,物理学,380,378,379,江苏,2017
理科,物理与天文学院,物理学,,,,江苏,2017
理科,药学院（广州）,药学,380,380,380,江苏,2017
理科,医学院（深圳）,临床医学,386,379,382,江苏,2017
理科,中法核工程与技术学院,核工程类（中外合作办学）（核工程与核技术专业）,379,379,379,江苏,2017
理科,中山医学院,康复治疗学,,,,江苏,2017
理科,中山医学院,临床医学（八年制）,395,385,390,江苏,2017
理科,土木工程学院,土木工程,382,382,382,江苏,2017
文科,传播与设计学院,新闻传播学类,619,619,619,四川,2017
文科,法学院,法学,626,625,626,四川,2017
文科,管理学院,工商管理类,,,,四川,2017
文科,管理学院,会计学,629,627,628,四川,2017
文科,国际翻译学院,外国语言文学类,621,620,621,四川,2017
文科,国际关系学院,国际政治,621,620,621,四川,2017
文科,国际金融学院,工商管理类,628,625,627,四川,2017
文科,历史学系（珠海）,历史学,,,,四川,2017
文科,历史学系（广州）,历史学,619,619,619,四川,2017
文科,岭南学院,经济学类,631,628,630,四川,2017
文科,旅游学院,旅游管理类,622,621,622,四川,2017
文科,社会学与人类学学院,人类学,630,630,630,四川,2017
文科,社会学与人类学学院,社会学,620,620,620,四川,2017
文科,外国语学院,英语,624,622,623,四川,2017
文科,哲学系（广州）,哲学,,,,四川,2017
文科,哲学系（珠海）,哲学,619,619,619,四川,2017
文科,政治与公共事务管理学院,公共管理类,626,622,624,四川,2017
文科,中国语言文学系（珠海）,汉语言文学,,,,四川,2017
文科,中国语言文学系（广州）,汉语言文学,620,620,620,四川,2017
文科,资讯管理学院,图书情报与档案管理类,620,619,620,四川,2017
理科,材料科学与工程学院,材料类,650,646,648,四川,2017
理科,大气科学学院,大气科学类,640,640,640,四川,2017
理科,地理科学与规划学院,城乡规划,652,650,651,四川,2017
理科,地理科学与规划学院,地理科学类,644,639,642,四川,2017
理科,地球科学与工程学院,地质类,643,643,643,四川,2017
理科,电子与信息工程学院,电子信息类,656,653,655,四川,2017
理科,电子与信息工程学院,光电信息科学与工程,652,638,644,四川,2017
理科,电子与信息工程学院,微电子科学与工程,649,642,646,四川,2017
理科,工学院,理论与应用力学,646,639,643,四川,2017
理科,工学院,生物医学工程,,,,四川,2017
理科,生物医学工程学院,生物医学工程,643,639,641,四川,2017
理科,公共卫生学院(广州）,预防医学,646,635,642,四川,2017
理科,管理学院,工商管理类,,,,四川,2017
理科,管理学院,会计学,653,646,649,四川,2017
理科,光华口腔医学院,口腔医学（5+3）,665,650,658,四川,2017
理科,国际翻译学院,外国语言文学类,,,,四川,2017
理科,国际金融学院,经济学类,,,,四川,2017
理科,国际金融学院,金融学,657,656,657,四川,2017
理科,海洋学院,海洋科学,,,,四川,2017
理科,海洋工程与技术学院,海洋科学,641,640,641,四川,2017
理科,化学工程与技术学院,化学工程与工艺,642,640,641,四川,2017
理科,环境科学与工程学院,环境科学与工程类,642,641,642,四川,2017
理科,岭南学院,经济学类,661,652,657,四川,2017
理科,旅游学院,旅游管理类,639,639,639,四川,2017
理科,生命科学学院,生物科学类,651,640,646,四川,2017
理科,数据科学与计算机学院,保密管理,640,639,639,四川,2017
理科,数据科学与计算机学院,计算机类,660,654,657,四川,2017
理科,数据科学与计算机学院,信息与计算科学,652,646,648,四川,2017
理科,数据科学与计算机学院（软件学院）,软件工程,653,647,650,四川,2017
理科,数学学院（广州）,数学类,,,,四川,2017
文科,传播与设计学院,新闻传播学类,619,618,619,河南,2017
文科,法学院,法学,623,616,619,河南,2017
文科,管理学院,工商管理类,,,,河南,2017
文科,管理学院,工商管理,627,626,627,河南,2017
文科,国际翻译学院,外国语言文学类,620,620,620,河南,2017
文科,国际金融学院,工商管理类,625,624,625,河南,2017
文科,国际金融学院,金融学,624,623,624,河南,2017
文科,历史学系（珠海）,历史学,,,,河南,2017
文科,历史学系（广州）,历史学,616,616,616,河南,2017
文科,岭南学院,经济学类,629,628,629,河南,2017
文科,旅游学院,旅游管理类,624,624,624,河南,2017
文科,社会学与人类学学院,人类学,624,624,624,河南,2017
文科,社会学与人类学学院,社会学,622,622,622,河南,2017
文科,外国语学院,法语,619,619,619,河南,2017
文科,外国语学院,英语,620,619,620,河南,2017
文科,哲学系（广州）,哲学,626,617,622,河南,2017
文科,政治与公共事务管理学院,公共管理类,620,619,620,河南,2017
文科,中国语言文学系（广州）,汉语言文学,,,,河南,2017
文科,中国语言文学系（珠海）,汉语言文学,616,616,616,河南,2017
文科,资讯管理学院,图书情报与档案管理类,616,616,616,河南,2017
理科,材料科学与工程学院,材料类,620,616,618,河南,2017
理科,大气科学学院,大气科学类,616,613,615,河南,2017
理科,地理科学与规划学院,城乡规划,626,626,626,河南,2017
理科,地理科学与规划学院,地理科学类,618,618,618,河南,2017
理科,电子与信息工程学院,电子信息类,,,,河南,2017
理科,电子与通信工程学院,电子信息类,625,619,622,河南,2017
理科,电子与信息工程学院,微电子科学与工程,629,628,629,河南,2017
理科,工学院,理论与应用力学,618,616,617,河南,2017
理科,工学院,能源与动力工程,,,,河南,2017
理科,工学院,生物医学工程,,,,河南,2017
理科,生物医学工程学院,生物医学工程,621,617,619,河南,2017
理科,公共卫生学院（广州）,预防医学,,,,河南,2017
理科,公共卫生学院（深圳）,预防医学,624,618,621,河南,2017
理科,管理学院,工商管理类,,,,河南,2017
理科,管理学院,工商管理,631,619,624,河南,2017
理科,光华口腔医学院,口腔医学（5+3）,634,634,634,河南,2017
理科,国际金融学院,经济学类,,,,河南,2017
理科,国际金融学院,金融学,631,617,624,河南,2017
理科,海洋科学学院,海洋科学,617,617,617,河南,2017
理科,化学学院,化学类,,,,河南,2017
理科,化学工程与技术学院,化学工程与工艺,617,616,617,河南,2017
理科,环境科学与工程学院,环境科学与工程类,617,617,617,河南,2017
理科,岭南学院,经济学类,637,635,636,河南,2017
理科,旅游学院,旅游管理类,619,619,619,河南,2017
理科,生命科学学院,生物科学类,631,617,622,河南,2017
理科,数据科学与计算机学院,保密管理,620,616,618,河南,2017
理科,数据科学与计算机学院,计算机类,635,629,632,河南,2017
理科,数据科学与计算机学院,信息与计算科学,622,621,622,河南,2017
理科,数据科学与计算机学院（软件学院）,软件工程,627,624,625,河南,2017
理科,数学学院（广州）,数学类,,,,河南,2017
文科,传播与设计学院,新闻传播学类,619,619,619,四川,2017
文科,法学院,法学,626,625,626,四川,2017
文科,管理学院,工商管理类,,,,四川,2017
文科,管理学院,会计学,629,627,628,四川,2017
文科,国际翻译学院,外国语言文学类,621,620,621,四川,2017
文科,国际关系学院,国际政治,621,620,621,四川,2017
文科,国际金融学院,工商管理类,628,625,627,四川,2017
文科,历史学系（珠海）,历史学,,,,四川,2017
文科,历史学系（广州）,历史学,619,619,619,四川,2017
文科,岭南学院,经济学类,631,628,630,四川,2017
文科,旅游学院,旅游管理类,622,621,622,四川,2017
文科,社会学与人类学学院,人类学,630,630,630,四川,2017
文科,社会学与人类学学院,社会学,620,620,620,四川,2017
文科,外国语学院,英语,624,622,623,四川,2017
文科,哲学系（广州）,哲学,,,,四川,2017
文科,哲学系（珠海）,哲学,619,619,619,四川,2017
文科,政治与公共事务管理学院,公共管理类,626,622,624,四川,2017
文科,中国语言文学系（珠海）,汉语言文学,,,,四川,2017
文科,中国语言文学系（广州）,汉语言文学,620,620,620,四川,2017
文科,资讯管理学院,图书情报与档案管理类,620,619,620,四川,2017
理科,材料科学与工程学院,材料类,650,646,648,四川,2017
理科,大气科学学院,大气科学类,640,640,640,四川,2017
理科,地理科学与规划学院,城乡规划,652,650,651,四川,2017
理科,地理科学与规划学院,地理科学类,644,639,642,四川,2017
理科,地球科学与工程学院,地质类,643,643,643,四川,2017
理科,电子与信息工程学院,电子信息类,656,653,655,四川,2017
理科,电子与信息工程学院,光电信息科学与工程,652,638,644,四川,2017
理科,电子与信息工程学院,微电子科学与工程,649,642,646,四川,2017
理科,工学院,理论与应用力学,646,639,643,四川,2017
理科,工学院,生物医学工程,,,,四川,2017
理科,生物医学工程学院,生物医学工程,643,639,641,四川,2017
理科,公共卫生学院(广州）,预防医学,646,635,642,四川,2017
理科,管理学院,工商管理类,,,,四川,2017
理科,管理学院,会计学,653,646,649,四川,2017
理科,光华口腔医学院,口腔医学（5+3）,665,650,658,四川,2017
理科,国际翻译学院,外国语言文学类,,,,四川,2017
理科,国际金融学院,经济学类,,,,四川,2017
理科,国际金融学院,金融学,657,656,657,四川,2017
理科,海洋学院,海洋科学,,,,四川,2017
理科,海洋工程与技术学院,海洋科学,641,640,641,四川,2017
理科,化学工程与技术学院,化学工程与工艺,642,640,641,四川,2017
理科,环境科学与工程学院,环境科学与工程类,642,641,642,四川,2017
理科,岭南学院,经济学类,661,652,657,四川,2017
理科,旅游学院,旅游管理类,639,639,639,四川,2017
理科,生命科学学院,生物科学类,651,640,646,四川,2017
理科,数据科学与计算机学院,保密管理,640,639,639,四川,2017
理科,数据科学与计算机学院,计算机类,660,654,657,四川,2017
理科,数据科学与计算机学院,信息与计算科学,652,646,648,四川,2017
理科,数据科学与计算机学院（软件学院）,软件工程,653,647,650,四川,2017
理科,数学学院（广州）,数学类,,,,四川,2017
文科,传播与设计学院,新闻传播学类,634,634,634,河北,2017
文科,法学院,法学,639,639,639,河北,2017
文科,管理学院,工商管理类,,,,河北,2017
文科,管理学院,工商管理,641,637,639,河北,2017
文科,国际金融学院,工商管理类,636,635,636,河北,2017
文科,历史学系（珠海）,历史学,,,,河北,2017
文科,历史学系（广州）,历史学,634,633,634,河北,2017
文科,岭南学院,经济学类,644,643,644,河北,2017
文科,社会学与人类学学院,社会学,633,632,633,河北,2017
文科,哲学系（广州）,哲学,636,634,635,河北,2017
